/award/award_category/category_of	20	792.23	40	37.5	38.85	772.55	72.5	62.5	65.7	389.75	40	37.5	39.94	372.6	75	62.5	66.55	1192.67	42.5	40	42.23	1176.17	72.5	70	71.61	285.07	37.5	37.5	38.51	264.4	75	65	70.12	15.65	67.5	50	56.76	3.05	95	65	76.49	75
/award/award_category/disciplines_or_subjects	15	187.1	46.67	0	14.99	174.83	63.33	40	49.12	249.2	43.33	0	11.78	236.3	60	30	42.62	139.1	43.33	6.67	19.43	127.7	56.67	30	41.94	26.27	50	3.33	19.93	12.8	76.67	56.67	63.55	44.4	43.33	3.33	20.56	34.87	60	20	33.9	73.33
/award/award_category/nominees./award/award_nomination/nominated_for	858	214.4	11.89	0.7	4.74	153.72	34.91	5.54	14.71	209.3	10.9	0.17	3.96	148.09	32.58	4.31	13.12	192.89	12.59	0.41	4.51	133.35	34.09	7.28	15.62	147.08	15.97	0.17	4.97	87	46.85	8.45	20.34	135.74	20.92	2.33	8.54	94.52	36.36	7.11	16.49	30.19
/award/award_category/winners./award/award_honor/award_winner	217	579.83	16.13	1.38	6.12	564.51	24.88	3.69	10.16	461.91	11.75	0.92	5.08	446.61	20.74	3.23	8.57	571.26	15.9	0.92	6.43	556.12	26.04	4.84	11.68	357	24.19	2.07	8.6	341.65	37.56	5.99	15.31	252.2	24.88	4.38	11.01	239.91	31.57	5.99	14.21	38.02
/award/award_category/winners./award/award_honor/ceremony	323	33.89	15.48	1.08	7.37	3.78	93.34	48.76	63.88	33.06	19.97	2.01	8.86	3.74	94.74	51.39	66.35	31.77	20.12	2.01	8.88	3.03	95.36	54.33	68.81	37.1	9.29	0	5.11	2.36	97.83	61.61	74.42	30.23	27.86	2.17	10.55	8.47	86.22	33.44	49.97	95.67
/award/award_ceremony/awards_presented./award/award_honor/award_winner	317	407.06	19.72	3	8.78	391.44	26.34	9.15	15.66	499.97	16.72	1.89	7	484.34	23.66	5.84	11.84	450.34	17.19	2.68	7.93	434.58	23.82	8.36	13.74	221.98	29.97	4.1	12.16	206.12	45.27	17.67	26.32	197.42	28.39	5.52	12.85	185.45	33.12	9.62	16.86	59.78
/award/award_ceremony/awards_presented./award/award_honor/honored_for	121	519.21	16.53	0.83	6.05	512.61	21.9	4.13	10.16	411.78	16.94	1.65	6.82	405.44	23.14	5.79	11.67	395.73	12.81	0.83	5.26	389.44	16.94	2.89	8.24	286.05	23.14	2.89	9.71	279.5	31.82	13.64	20.78	215.69	20.66	1.65	8.74	210.71	23.55	3.72	10.87	64.46
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	16	209.44	28.13	0	7.9	205.03	53.13	3.13	22.59	278.75	43.75	0	10.17	274.53	62.5	12.5	31.57	51.97	53.13	0	11.23	47.69	71.88	3.13	27.36	40.84	50	0	13.54	36.28	81.25	3.13	31.49	107.41	21.88	0	7.94	103.06	53.13	0	12.44	93.75
/award/award_nominee/award_nominations./award/award_nomination/award	1067	295.39	13.4	0.7	5.16	252.56	29.05	4.36	12.16	333.15	12.89	0.75	4.89	290.16	28.16	3.7	11.34	263.37	14.85	1.08	5.67	220.68	28.58	5.58	13.13	182.52	22.12	1.27	7.31	139.61	42.22	10.31	20.36	172.27	25.77	4.5	11.1	140.72	36.6	10.22	18.54	32.29
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	125.97	19.63	0.23	6.54	113.72	62.62	1.4	18.12	110.51	14.49	0	5.3	97.95	57.24	1.17	16.04	112.8	17.52	0.93	6.79	100.4	65.65	2.34	18.07	137.39	16.59	0	5.93	124.61	68.46	1.4	18.16	78.08	23.13	0	7.57	68.34	48.36	0	15.41	50.47
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	132	882.17	10.61	1.52	4.85	875.76	16.67	4.17	8.75	893.25	10.61	2.65	5.92	886.96	18.18	6.44	9.82	901.41	9.47	1.52	4.19	895.11	13.64	3.79	7.31	338.23	14.02	1.89	6.56	331.89	26.14	3.41	10.87	303.18	16.29	3.41	7.62	297.69	18.56	5.68	10.37	29.55
/award/award_winner/awards_won./award/award_honor/award_winner	41	392.21	32.93	0	9.43	386.21	74.39	3.66	23.49	276.07	30.49	0	8.38	269.82	57.32	7.32	22.3	449.29	24.39	0	7.66	442.93	63.41	6.1	20.81	149.72	23.17	1.22	7.75	143.21	54.88	3.66	15.6	328.02	8.54	0	4.01	321.96	29.27	0	7.37	67.07
